| Heures | Hauteur du niveau de la mer (pieds) | Direction du vent | Niveau barométrique (pieds de mercure) | Coefficients du vent | Vent dactylo (pieds) | Pluviomètre (mm) | Baromètre (mm Hg) |
|--------|-------------------------------------|------------------|------------------------------------------|-------------------|--------------------|----------------|-------------|
| 2h 25' | 8° 22'                               | O°, 17°           | 0°, 32                                  | -                 | 0                  | -              | -           |
| 2h 30' | 8° 27'                               | O°, 16°           | 0°, 32                                  | -                 | 0                  | -              | -           |
| 2h 35' | 8° 33'                               | O°, 15°           | 0°, 32                                  | -                 | 0                  | -              | -           |
| 2h 40' | 8° 42'                               | O°, 16°           | 0°, 32                                  | -                 | 0                  | -              | -           |
| 2h 50' | 8° 45'                               | O°, 15°           | 0°, 31                                  | -                 | 0                  | -              | -           |
| 2h 55' | 8° 47'                               | O°, 15°           | 0°, 30                                  | -                 | 0                  | -              | -           |
| 2h 57' | 8° 52'                               | O°, 17°           | 0°, 30                                  | -                 | 0                  | -              | -           |
| 3h     | 9° 0'                                | O°, 18°           | 0°, 39                                  | -                 | 1                  | 766,3          | -           |
| 3h 3'  | 9° 15'                               | O°, 17°           | 0°, 29                                  | -                 | 0                  | -              | -           |
| 3h 5'  | 9° 35'                               | O°, 18°           | 0°, 28                                  | -                 | 0                  | -              | -           |
| 3h 7'  | 9° 45'                               | O°, 17°           | 0°, 28                                  | -                 | 2                  | 766,7          | N.N.O.      |
| 3h 10' | 10° 15'                              | O°, 18°           | 0°, 25                                  | -                 | 2                  | 766,7          | N.N.O.      |
| 3h 12' | 10° 20'                              | O°, 18°           | 0°, 26                                  | -                 | 0                  | -              | -           |
| 3h 15' | 10° 30'                              | O°, 19°           | 0°, 27                                  | -                 | 0                  | -              | -           |
| 3h 20' | 10° 40'                              | O°, 18°           | 0°, 25                                  | -                 | 0                  | -              | -           |
| 3h 23' | 10° 47'                              | O°, 19°           | 0°, 25                                  | -                 | 0                  | -              | -           |
| 3h 27' | 11° 0'                               | O°, 19           | 0°, 23                                  | -                 | 0                  | -              | -           |
| 3h 32' | 11° 30'                              | O°, 18°           | 0°, 22                                  | -                 | 0                  | -              | -           |
| 3h 35' | 11° 35'                              | O°, 18           | 0°, 21                                  | -                 | 0                  | -              | -           |
| 3h 38' | N.O. 1-2                             | O°, 20            | 0°, 25                                  | 765,0             | 0                  | -              | -           |
| 6h     | 0°, 32                               | -                 | -                                       | -                 | 0                  | -              | -           |
| 7h 35' | N.O. 2                              | O°, 32            | 0°, 25                                  | 766,0             | 0                  | -              | -           |
| 7h 40' | N.O.                                | O°, 31            | 0°, 31                                  | 766,1             | 1                  | N.O.           | 1           |
| 7h 42' | N.O.                                | O°, 32            | 0°, 32                                  | 766,1             | 2                  | O.S.           | 0, 17       |
| 8h     | N.O.                                | O°, 32            | 0°, 32                                  | 766,1             | 0                  | 2h 5'          | 0, 14       |
| 8h 8'  | N.O.                                | O°, 31            | 0°, 31                                  | 766,1             | 0                  | 2h 27'         | 0, 16       |
| 8h 12' | N.O.                                | O°, 31            | 0°, 31                                  | 766,1             | 0                  | 2h 35'         | 0, 14       |
| 8h 17' | N.O.                                | O°, 32            | 0°, 32                                  | 766,1             | 0                  | 2h 40'         | 0, 14       |

**Remarque :** La lune s'est levée à 6h 43' selon l'horloge.
