| Heure | Hauteur (m) | Direction | Hauteur (m) | Direction | Hauteur (m) | Direction | Hauteur (m) | Direction |
|-------|-------------|-----------|-------------|-----------|-------------|-----------|-------------|-----------|
| 9h22' | 0,22 | 0,313 | 10h22' | 0,292 | 11h22' | 0,297 | 1h22' | 0,24 |
| 9h24' | 0,24 | 0,312 | 10h24' | 0,283 | 11h24' | 0,291 | 1h24' | 0,245 |
| 9h26' | 0,26 | 0,312 | 10h26' | 0,277 | 11h26' | 0,249 | 1h26' | 0,248 |
| 9h28' | 0,28 | 0,302 | 10h28' | 0,278 | 11h28' | 0,249 | 1h28' | 0,248 |
| 9h30' | 0,30 | 0,300 | 10h30' | 0,278 | 11h30' | 0,29 | 2h0' | 0,245 |
| 9h32' | 0,32 | 0,300 | 10h32' | 0,279 | 11h32' | 0,29 | 2h2' | 0,244 |
| 9h34' | 0,34 | 0,300 | 10h34' | 0,299 | 11h34' | 0,295 | 2h4' | 0,25 |
| 9h36' | 0,36 | 0,304 | 10h36' | 0,274 | 11h36' | 0,248 | 2h6' | 0,25 |
| 9h38' | 0,38 | 0,302 | 10h38' | 0,27 | 11h38' | 0,243 | 2h8' | 0,244 |
| 9h40' | 0,40 | 0,298 | 10h40' | 0,267 | 11h40' | 0,29 | 2h10' | 0,242 |
| 9h42' | 0,42 | 0,198 | 10h42' | 0,298 | 11h42' | 0,29 | 2h12' | 0,24 |
| 9h44' | 0,44 | 0,304 | 10h44' | 0,26 | 11h44' | 0,246 | 2h14' | 0,239 |
| 9h46' | 0,46 | 0,311 | 10h46' | 0,26 | 11h46' | 0,243 | 2h16' | 0,23 |
| 9h48' | 0,48 | 0,309 | 10h48' | 0,266 | 11h48' | 0,244 | 2h18' | 0,239 |
| 9h50' | 0,50 | 0,301 | 10h50' | 0,268 | 11h50' | 0,249 | 2h20' | 0,233 |
| 9h52' | 0,52 | 0,30 | 10h52' | 0,263 | 11h52' | 0,249 | 2h22' | 0,248 |
| 9h54' | 0,54 | 0,305 | 10h54' | 0,25 | 11h54' | 0,293 | 2h24' | 0,29 |
| 9h56' | 0,56 | 0,313 | 10h56' | 0,293 | 11h56' | 0,294 | 2h26' | 0,293 |
| 9h58' | 0,58 | 0,318 | 10h58' | 0,29 | 11h58' | 0,224 | 2h28' | 0,26 |
| 10h0' | 0,60 | 0,316 | 11h0' | 0,249 | midi | 0,228 | 2h30' | 0,26 |
| 10h2' | 0,62 | 0,309 | 11h2' | 0,243 | 1h32' | 0,218 | 2h32' | 0,22 |
| 10h4' | 0,64 | 0,306 | 11h4' | 0,293 | 1h34' | 0,219 | 2h34' | 0,21 |
| 10h6' | 0,66 | 0,306 | 11h6' | 0,25 | 1h36' | 0,22 | 2h36' | 0,2 |
| 10h8' | 0,68 | 0,309 | 11h8' | 0,295 | 1h38' | 0,23 | 2h38' | 0,249 |
| 10h10' | 0,70 | 0,314 | 11h10' | 0,253 | 1h40' | 0,24 | 2h40' | 0,245 |
| 10h12' | 0,72 | 0,316 | 11h12' | 0,29 | 1h42' | 0,243 | 2h42' | 0,249 |
| 10h14' | 0,74 | 0,30 | 11h14' | 0,294 | 1h44' | 0,243 | 2h44' | 0,251 |
| 10h16' | 0,76 | 0,288 | 11h16' | 0,247 | 1h46' | 0,25 | 2h46' | 0,25 |
| 10h18' | 0,78 | 0,29 | 11h18' | 0,246 | 1h48' | 0,25 | 2h48' | 0,244 |
| 10h20' | 0,80 | 0,292 | 11h20' | 0,256 | 1h50' | 0,242 | 2h50' | 0,246 |
