# V. 21 Août 1902

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 fort | 2  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 22 Août 1902

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 32 Août 1903

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 33 Août 1904

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 34 Août 1905

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 35 Août 1906

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 36 Août 1907

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 37 Août 1908

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 38 Août 1909

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 39 Août 1910

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 40 Août 1911

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 41 Août 1912

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 42 Août 1913

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

