# 9.9 Novembre 1901

|  **Pfanteur Pcarométrique** | **Ptoatin** | **Soir**  |
| --- | --- | --- |
|  Direction du vent | 763,1 | 761,8  |
|  Force | 2 | 1,8  |
|  Échelle | 10 kg/m² | 10  |
|  Échelle | 10 kg/m² | 10  |
|  Direction des nuages | 10 kg/m² | 10  |
|  Envie tombée | 14,1 | 11,7  |
|  Échelle de la mer | 47,2 | 40,0  |
|  Échelle de l'eau | 3 | 3  |
|  Échelle au bout de la jetée | 1026,8 | 1026,9  |
|  Échelle de l'eau | 14,8 | 11,1  |

# 9.9 Novembre 1901

|  **Pfanteur Pcarométrique** | **Ptoatin** | **Soir**  |
| --- | --- | --- |
|  Direction du vent | 762,4 | 761,2  |
|  Force | 2 | 2  |
|  Échelle | 10 kg/m² | 10  |
|  Échelle | 10 kg/m² | 10  |
|  Direction des nuages | 10 kg/m² | 10  |
|  Envie tombée | 13,2 | 11,3  |
|  Échelle de la mer | 43,1 | 40,9  |
|  Échelle de l'eau | 2 T. / 1/2 | 2 T. / 1/2  |
|  Échelle au bout de la jetée | 1027,2 | 1027,2  |
|  Échelle de l'eau | 11,6 | 11,6  |
