# 9. 6 février. 1903

|  Nom | Date | Dotation | Soir  |
| --- | --- | --- | --- |
|  Hauteur |  | 769.2 | 768.8  |
|  Direction |  | 0.70 | 268.8  |
|  Force |  | 1 fort | 2 fuites  |
|  0666700101 | (Reg. G. (terre) | 1 | 0  |
|  0666700101 | (Reg. X. (mur) | 1 | 1  |
|  Direction |  | 0.70 | 268.8  |
|  2680000001 |  | 0.2 | 18.4  |
|  2680000001 |  | 0.7.1 | 18.8  |
|  2680000001 |  | 1.4.1 | 1.4.1  |
|  2680000001 |  | 1.029.6 | 1029.6  |
|  2680000001 |  | 10.1 | 11.1  |

# 10 février. 1903

|  Nom | Date | Dotation | Soir  |
| --- | --- | --- | --- |
|  Hauteur |  | 771.6 | 771.6  |
|  Direction |  | 0.00.0 | 0  |
|  Force |  | 2 | 0  |
|  0666700101 | (Reg. G. (terre) | 0 | 0  |
|  0666700101 | (Reg. X. (mur) | 0 | 0  |
|  Direction |  | 0 | 0  |
|  2680000001 |  | 0.1 | 14.7  |
|  2680000001 |  | 0.2.2 | 14.2  |
|  2680000001 |  | 0.2.2.2 | 14.2  |

# 11 février. 1903

|  Nom | Date | Dotation | Soir  |
| --- | --- | --- | --- |
|  Hauteur |  | 771.6 | 771.6  |
|  Direction |  | 0.00.0 | 0  |
|  Force |  | 2 | 0  |
|  0666700101 |  | 0.00.0 | 0  |
|  0666700101 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
|  2680000001 |  | 0.00.0 | 0  |
