# Date: 08-24 Septembre 1920

|  Item | 10th Year | 3rd Year  |
| --- | --- | --- |
|  Bauteur économique | 1929.8 | 1960.5  |
|  Direction du vent | S. | N.  |
|  Force | 11.0 | 11.0  |
|  Nebuliserie | 1.0 | 3.0  |
|  Direction des images | 1.0 | 3.0  |
|  Planes tomates | 0.5 | 0.5  |
|  Température de l'air | 24.9 | 24.4  |
|  Hauteur de la mer | 0.55 | 0.46  |
|  Ajustation de l'eau | 3.3 | 3.3  |
|  Sensibilité à l'eau et à la laine | 1026.9 | 1026.9  |
|  Température de l'eau | 24.2 | 24.5  |
|  **Désertés:** |  |   |
