# Variation du niveau de la mer le 22 Septembre 1900

|  Heures | Hauteur |  |  |  |
| --- | --- | --- | --- | --- |
|  4h15 m. | 0,34 |  |  |  |
|  4h45 m. | 0,31 |  |  |  |
|  5h00 m. | 0,31 |  |  |  |
|  5h05 m. | 0,31 |  |  |  |
|  5h15 m. | 0,30 |  |  |  |
|  5h25 m. | 0,29 |  |  |  |
|  5h35 m. | 0,30 |  |  |  |
|  5h45 m. | 0,29 |  |  |  |
|  6h00 m. | 0,30 |  |  |  |
|  6h05 m. | 0,30 |  |  |  |
|  6h15 m. | 0,28 |  |  |  |
|  6h25 m. | 0,29 |  |  |  |
|  6h45 m. | 0,30 |  |  |  |
|  7h00 m. | 0,32 |  |  |  |
|  7h15 m. | 0,31 |  |  |  |
|  7h25 m. | 0,31 |  |  |  |
|  7h35 m. | 0,30 |  |  |  |
|  7h45 m. | 0,29 |  |  |  |
|  8h00 m. | 0,26 |  |  |  |
|  8h05 m. | 0,23 |  |  |  |
|  8h15 m. | 0,21 |  |  |  |
|  8h25 m. | 0,22 |  |  |  |
|  8h35 m. | 0,23 |  |  |  |
|  8h45 m. | 0,24 |  |  |  |
|  9h00 m. | 0,26 |  |  |  |
|  9h05 m. | 0,27 |  |  |  |
|  9h15 m. | 0,28 |  |  |  |
|  9h25 m. | 0,29 |  |  |  |
|  9h35 m. | 0,30 |  |  |  |
|  9h45 m. | 0,31 |  |  |  |
|  10h00 m. | 0,32 |  |  |  |
|  10h05 m. | 0,32 |  |  |  |
|  10h15 m. | 0,33 |  |  |  |
|  10h25 m. | 0,33 |  |  |  |
|  10h35 m. | 0,32 |  |  |  |
|  10h45 m. | 0,31 |  |  |  |
|  11h00 m. | 0,30 |  |  |  |
|  11h05 m. | 0,30 |  |  |  |
|  11h15 m. | 0,30 |  |  |  |
|  11h25 m. | 0,30 |  |  |  |
|  11h35 m. | 0,30 |  |  |  |
|  11h45 m. | 0,29 |  |  |  |
|  12h00 m. | 0,28 |  |  |  |
|  12h05 m. | 0,29 |  |  |  |
|  12h15 m. | 0,29 |  |  |  |
|  12h25 m. | 0,30 |  |  |  |
|  12h35 m. | 0,30 |  |  |  |
|  12h45 m. | 0,30 |  |  |  |
|  13h00 m. | 0,31 |  |  |  |
|  13h05 m. | 0,31 |  |  |  |
|  13h15 m. | 0,31 |  |  |  |
|  13h25 m. | 0,31 |  |  |  |
|  13h35 m. | 0,32 |  |  |  |
|  13h45 m. | 0,32 |  |  |  |
|  14h00 m. | 0,33 |  |  |  |
|  14h05 m. | 0,33 |  |  |  |
|  14h15 m. | 0,34 |  |  |  |
|  14h25 m. | 0,34 |  |  |  |
|  14h35 m. | 0,34 |  |  |  |
|  14h45 m. | 0,34 |  |  |  |
|  15h00 m. | 0,33 |  |  |  |
|  15h05 m. | 0,33 |  |  |  |
|  15h15 m. | 0,32 |  |  |  |
|  15h25 m. | 0,32 |  |  |  |
|  15h35 m. | 0,32 |  |  |  |
|  15h45 m. | 0,31 |  |  |  |
|  16h00 m. | 0,31 |  |  |  |
|  16h05 m. | 0,31 |  |  |  |
|  16h15 m. | 0,31 |  |  |  |
|  16h25 m. | 0,31 |  |  |  |
|  16h35 m. | 0,31 |  |  |  |
|  16h45 m. | 0,31 |  |  |  |
|  17h00 m. | 0,31 |  |  |  |
|  17h05 m. | 0,31 |  |  |  |
|  17h15 m. | 0,31 |  |  |  |
|  17h25 m. | 0,31 |  |  |  |
|  17h35 m. | 0,31 |  |  |  |
|  17h45 m. | 0,31 |  |  |  |
|  18h00 m. | 0,31 |  |  |  |
|  18h05 m. | 0,31 |  |  |  |
|  18h15 m. | 0,31 |  |  |  |
|  18h25 m. | 0,31 |  |  |  |
|  18h35 m. | 0,31 |  |  |  |
|  18h45 m. | 0,31 |  |  |  |
|  19h00 m. | 0,31 |  |  |  |
|  19h05 m. | 0,31 |  |  |  |
|  19h15 m. | 0,31 |  |  |  |
|  19h25 m. | 0,31 |  |  |  |
|  19h35 m. | 0,31 |  |  |  |
|  19h45 m. | 0,30 |  |  |  |
|  20h00 m. | 0,30 |  |  |  |
|  20h05 m. | 0,30 |  |  |  |
|  20h15 m. | 0,30 |  |  |  |
|  20h25 m. | 0,30 |  |  |  |
|  20h35 m. | 0,30 |  |  |  |
|  20h45 m. | 0,30 |  |  |  |
|  21h00 m. | 0,30 |  |  |  |
|  21h05 m. | 0,30 |  |  |  |
|  21h15 m. | 0,30 |  |  |  |
|  21h25 m. | 0,30 |  |  |  |
|  21h35 m. | 0,30 |  |  |  |
|  21h45 m. | 0,30 |  |  |  |
|  22h00 m. | 0,30 |  |  |  |
|  22h05 m. | 0,30 |  |  |  |
|  22h15 m. | 0,30 |  |  |  |
|  22h25 m. | 0,30 |  |  |  |
|  22h35 m. | 0,30 |  |  |  |
|  22h45 m. | 0,30 |  |  |  |
|  23h00 m. | 0,30 |  |  |  |
|  23h05 m. | 0,30 |  |  |  |
|  23h15 m. | 0,30 |  |  |  |
|  23h25 m. | 0,30 |  |  |  |
|  23h35 m. | 0,30 |  |  |  |
|  23h45 m. | 0,30 |  |  |  |
