# 22 Janvier 1902

## Matin

|  Matin | Jour  |
| --- | --- |
|  771,4 | 769,6  |
|  Ouest | Ouest  |
|  1 | 17  |
|  0 | 10  |
|  0 | 10  |
|  1 | 1  |

## Hauteur Maramétrique

|  Hauteur Maramétrique | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 17 | 1  |

## 30e Ébulosité

|  30e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  0 | 0 | 0 | 0  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## 31e Ébulosité

|  31e Ébulosité | 771,4 | Ouest | 769,6  |
| --- | --- | --- | --- |
|  1 | 1 | 1 | 1  |

## Soir

|  Soir |  |
| --- | --- |
|  771,4 | 769,6  |
|  Ouest | Ouest  |
|  1 | 17  |
|  10 | 10  |
|  10 | 10  |
|  1 | 1  |
|  8,8 | 12,2  |
|  49,1 | 49,1  |
|  7 | 7  |
|  1028,8 | 1028,8  |
|  8,8 | 12,3  |
