book,page,file_path,cer,wer,substitutions,deletions,insertions,ref_length,hyp_length,ref_word_count,hyp_word_count,char_errors,word_errors,char_accuracy,word_accuracy,ref_text_length,hyp_text_length
05_OOB_04_log,05_OOB_04_051,05_OOB_04_log/05_OOB_04_051.txt,0.5517241379310345,0.6470588235294118,8,17,23,87,93,17,15,48,11.0,0.4482758620689655,0.3529411764705882,87,93
05_OOB_04_log,05_OOB_04_132,05_OOB_04_log/05_OOB_04_132.txt,0.23684210526315788,0.5434782608695652,33,29,19,342,332,46,42,81,25.0,0.7631578947368421,0.4565217391304348,342,332
05_OOB_04_log,05_OOB_04_084,05_OOB_04_log/05_OOB_04_084.txt,0.675,0.6,13,0,14,40,54,10,9,27,6.0,0.32499999999999996,0.4,40,54
05_OOB_04_log,05_OOB_04_127,05_OOB_04_log/05_OOB_04_127.txt,0.27932960893854747,0.5714285714285714,27,11,12,179,180,28,26,50,16.0,0.7206703910614525,0.4285714285714286,179,180
05_OOB_04_log,05_OOB_04_042,05_OOB_04_log/05_OOB_04_042.txt,0.3445378151260504,0.5714285714285714,28,10,3,119,112,21,17,41,12.0,0.6554621848739496,0.4285714285714286,119,112
05_OOB_04_log,05_OOB_04_136,05_OOB_04_log/05_OOB_04_136.txt,0.3125,0.4666666666666667,10,3,12,80,89,15,15,25,7.0,0.6875,0.5333333333333333,80,89
05_OOB_04_log,05_OOB_04_134,05_OOB_04_log/05_OOB_04_134.txt,0.18627450980392157,0.29411764705882354,7,1,11,102,112,17,16,19,5.0,0.8137254901960784,0.7058823529411764,102,112
05_OOB_04_log,05_OOB_04_041,05_OOB_04_log/05_OOB_04_041.txt,0.23529411764705882,0.2222222222222222,1,0,11,51,62,9,9,12,2.0,0.7647058823529411,0.7777777777777778,51,62
05_OOB_04_log,05_OOB_04_121,05_OOB_04_log/05_OOB_04_121.txt,0.33620689655172414,0.47368421052631576,15,13,11,116,114,19,18,39,9.0,0.6637931034482758,0.5263157894736843,116,114
05_OOB_04_log,05_OOB_04_135,05_OOB_04_log/05_OOB_04_135.txt,0.2,0.4,14,3,11,140,148,20,19,28,8.0,0.8,0.6,140,148
05_OOB_04_log,05_OOB_04_018,05_OOB_04_log/05_OOB_04_018.txt,0.40594059405940597,0.6666666666666666,22,6,13,101,108,18,16,41,12.0,0.594059405940594,0.33333333333333337,101,108
05_OOB_04_log,05_OOB_04_140,05_OOB_04_log/05_OOB_04_140.txt,0.15040650406504066,0.4166666666666667,26,11,0,246,235,36,34,37,15.0,0.8495934959349594,0.5833333333333333,246,235
05_OOB_04_log,05_OOB_04_141,05_OOB_04_log/05_OOB_04_141.txt,0.1794871794871795,0.21428571428571427,4,0,10,78,88,14,13,14,3.0,0.8205128205128205,0.7857142857142857,78,88
05_OOB_04_log,05_OOB_04_143,05_OOB_04_log/05_OOB_04_143.txt,0.07692307692307693,0.13157894736842105,20,7,5,416,414,76,75,32,10.0,0.9230769230769231,0.868421052631579,416,414
05_OOB_04_log,05_OOB_04_011,05_OOB_04_log/05_OOB_04_011.txt,0.6548672566371682,1.0,29,1,44,113,156,19,26,74,19.0,0.34513274336283184,0.0,113,156
05_OOB_04_log,05_OOB_04_110,05_OOB_04_log/05_OOB_04_110.txt,0.2736842105263158,0.35294117647058826,12,4,10,95,101,17,15,26,6.0,0.7263157894736842,0.6470588235294117,95,101
