book,page,file_path,cer,wer,substitutions,deletions,insertions,ref_length,hyp_length,ref_word_count,hyp_word_count,char_errors,word_errors,char_accuracy,word_accuracy,ref_text_length,hyp_text_length
05_OOB_04_log,05_OOB_04_051,05_OOB_04_log/05_OOB_04_051.txt,0.7241379310344828,1.0,47,3,13,87,97,17,30,63,17.0,0.27586206896551724,0.0,87,97
05_OOB_04_log,05_OOB_04_132,05_OOB_04_log/05_OOB_04_132.txt,0.4853801169590643,1.0,99,48,19,342,313,46,57,166,46.0,0.5146198830409356,0.0,342,313
05_OOB_04_log,05_OOB_04_084,05_OOB_04_log/05_OOB_04_084.txt,1.0,1.0,24,0,40,40,80,10,30,64,10.0,0.0,0.0,40,80
05_OOB_04_log,05_OOB_04_127,05_OOB_04_log/05_OOB_04_127.txt,0.7430167597765364,1.0,59,21,53,179,211,28,47,133,28.0,0.25698324022346364,0.0,179,211
05_OOB_04_log,05_OOB_04_042,05_OOB_04_log/05_OOB_04_042.txt,0.7983193277310925,1.0,71,9,15,119,125,21,36,95,21.0,0.2016806722689075,0.0,119,125
05_OOB_04_log,05_OOB_04_136,05_OOB_04_log/05_OOB_04_136.txt,0.6875,1.0,44,8,3,80,75,15,22,55,15.0,0.3125,0.0,80,75
05_OOB_04_log,05_OOB_04_134,05_OOB_04_log/05_OOB_04_134.txt,0.9803921568627451,1.0,22,3,75,102,174,17,42,100,17.0,0.019607843137254943,0.0,102,174
05_OOB_04_log,05_OOB_04_041,05_OOB_04_log/05_OOB_04_041.txt,0.8235294117647058,1.0,30,3,9,51,57,9,19,42,9.0,0.17647058823529416,0.0,51,57
05_OOB_04_log,05_OOB_04_121,05_OOB_04_log/05_OOB_04_121.txt,0.6120689655172413,1.0,43,6,22,116,132,19,32,71,19.0,0.3879310344827587,0.0,116,132
05_OOB_04_log,05_OOB_04_135,05_OOB_04_log/05_OOB_04_135.txt,0.5857142857142857,1.0,64,8,10,140,142,20,33,82,20.0,0.41428571428571426,0.0,140,142
05_OOB_04_log,05_OOB_04_018,05_OOB_04_log/05_OOB_04_018.txt,0.7128712871287128,1.0,40,20,12,101,93,18,25,72,18.0,0.28712871287128716,0.0,101,93
05_OOB_04_log,05_OOB_04_140,05_OOB_04_log/05_OOB_04_140.txt,0.5975609756097561,1.0,84,34,29,246,241,36,51,147,36.0,0.4024390243902439,0.0,246,241
05_OOB_04_log,05_OOB_04_141,05_OOB_04_log/05_OOB_04_141.txt,1.0,1.0,27,3,75,78,150,14,47,105,14.0,0.0,0.0,78,150
05_OOB_04_log,05_OOB_04_143,05_OOB_04_log/05_OOB_04_143.txt,0.5649038461538461,0.9342105263157895,104,88,43,416,371,76,80,235,71.0,0.43509615384615385,0.06578947368421051,416,371
05_OOB_04_log,05_OOB_04_011,05_OOB_04_log/05_OOB_04_011.txt,0.8672566371681416,1.0,62,0,36,113,149,19,41,98,19.0,0.1327433628318584,0.0,113,149
05_OOB_04_log,05_OOB_04_110,05_OOB_04_log/05_OOB_04_110.txt,0.5473684210526316,1.0,26,11,15,95,99,17,29,52,17.0,0.4526315789473684,0.0,95,99
05_OOB_04_log,05_OOB_04_105,05_OOB_04_log/05_OOB_04_105.txt,0.7045454545454546,1.0,41,4,17,88,101,16,28,62,16.0,0.2954545454545454,0.0,88,101
05_OOB_05_log,05_OOB_05_108,05_OOB_05_log/05_OOB_05_108.txt,0.6063829787234043,1.0,511,112,118,1222,1228,203,223,741,203.0,0.3936170212765957,0.0,1222,1228
05_OOB_05_log,05_OOB_05_120,05_OOB_05_log/05_OOB_05_120.txt,0.6415620641562064,0.9121621621621622,339,53,68,717,732,148,136,460,135.0,0.3584379358437936,0.08783783783783783,717,732
05_OOB_05_log,05_OOB_05_096,05_OOB_05_log/05_OOB_05_096.txt,0.5641379310344827,0.927536231884058,253,51,105,725,779,138,147,409,128.0,0.43586206896551727,0.07246376811594202,725,779
05_OOB_05_log,05_OOB_05_109,05_OOB_05_log/05_OOB_05_109.txt,0.5428571428571428,1.0,44,26,6,140,120,27,33,76,27.0,0.4571428571428572,0.0,140,120
05_OOB_05_log,05_OOB_05_137,05_OOB_05_log/05_OOB_05_137.txt,0.7859424920127795,1.0,176,11,59,313,361,63,77,246,63.0,0.21405750798722045,0.0,313,361
05_OOB_05_log,05_OOB_05_091,05_OOB_05_log/05_OOB_05_091.txt,0.5339805825242718,0.8740157480314961,166,55,109,618,672,127,131,330,111.0,0.46601941747572817,0.12598425196850394,618,672
05_OOB_05_log,05_OOB_05_119,05_OOB_05_log/05_OOB_05_119.txt,0.5366197183098591,0.9230769230769231,237,53,91,710,748,130,129,381,120.0,0.4633802816901409,0.07692307692307687,710,748
05_OOB_05_log,05_OOB_05_246,05_OOB_05_log/05_OOB_05_246.txt,0.7722342733188721,1.0,120,12,224,461,673,84,124,356,84.0,0.22776572668112793,0.0,461,673
05_OOB_05_log,05_OOB_05_143,05_OOB_05_log/05_OOB_05_143.txt,0.842809364548495,1.0,141,22,89,299,366,57,75,252,57.0,0.15719063545150502,0.0,299,366
05_OOB_05_log,05_OOB_05_037,05_OOB_05_log/05_OOB_05_037.txt,1.0,1.0,115,13,209,324,520,64,101,337,64.0,0.0,0.0,324,520
05_OOB_05_log,05_OOB_05_181,05_OOB_05_log/05_OOB_05_181.txt,0.5830324909747292,0.9619047619047619,236,34,53,554,573,105,112,323,101.0,0.4169675090252708,0.03809523809523807,554,573
05_OOB_05_log,05_OOB_05_197,05_OOB_05_log/05_OOB_05_197.txt,0.5572289156626506,0.8931297709923665,176,115,79,664,628,131,120,370,117.0,0.44277108433734935,0.10687022900763354,664,628
05_OOB_05_log,05_OOB_05_193,05_OOB_05_log/05_OOB_05_193.txt,0.7208835341365462,1.0,124,24,211,498,685,96,136,359,96.0,0.27911646586345384,0.0,498,685
05_OOB_05_log,05_OOB_05_185,05_OOB_05_log/05_OOB_05_185.txt,0.5206349206349207,0.8629032258064516,206,62,60,630,628,124,115,328,107.0,0.4793650793650793,0.13709677419354838,630,628
05_OOB_05_log,05_OOB_05_231,05_OOB_05_log/05_OOB_05_231.txt,0.8125,1.0,119,75,222,512,659,104,120,416,104.0,0.1875,0.0,512,659
05_OOB_05_log,05_OOB_05_189,05_OOB_05_log/05_OOB_05_189.txt,0.6221374045801527,0.95,216,47,63,524,540,100,102,326,95.0,0.37786259541984735,0.050000000000000044,524,540
05_OOB_05_log,05_OOB_05_214,05_OOB_05_log/05_OOB_05_214.txt,0.5494011976047904,0.9236641221374046,217,97,53,668,624,131,128,367,121.0,0.45059880239520955,0.07633587786259544,668,624
05_OOB_05_log,05_OOB_05_229,05_OOB_05_log/05_OOB_05_229.txt,0.7058823529411765,0.9900990099009901,470,124,138,1037,1051,202,202,732,200.0,0.2941176470588235,0.00990099009900991,1037,1051
05_OOB_05_log,05_OOB_05_188,05_OOB_05_log/05_OOB_05_188.txt,0.5752380952380952,0.9038461538461539,129,36,137,525,626,104,122,302,94.0,0.4247619047619048,0.09615384615384615,525,626
05_OOB_05_log,05_OOB_05_014,05_OOB_05_log/05_OOB_05_014.txt,0.7317073170731707,1.0,115,37,88,328,379,60,78,240,60.0,0.2682926829268293,0.0,328,379
05_OOB_05_log,05_OOB_05_148,05_OOB_05_log/05_OOB_05_148.txt,0.7368421052631579,0.9041095890410958,168,80,32,380,332,73,67,280,66.0,0.26315789473684215,0.09589041095890416,380,332
