book,page,file_path,cer,wer,substitutions,deletions,insertions,ref_length,hyp_length,ref_word_count,hyp_word_count,char_errors,word_errors,char_accuracy,word_accuracy,ref_text_length,hyp_text_length
05_OOB_04_log,05_OOB_04_051,05_OOB_04_log/05_OOB_04_051.txt,0.4367816091954023,0.5882352941176471,12,12,14,87,89,17,18,38,10.0,0.5632183908045977,0.4117647058823529,87,89
05_OOB_04_log,05_OOB_04_132,05_OOB_04_log/05_OOB_04_132.txt,0.30994152046783624,0.7391304347826086,47,42,17,342,317,46,43,106,34.0,0.6900584795321638,0.26086956521739135,342,317
05_OOB_04_log,05_OOB_04_084,05_OOB_04_log/05_OOB_04_084.txt,0.575,0.6,6,0,17,40,57,10,9,23,6.0,0.42500000000000004,0.4,40,57
05_OOB_04_log,05_OOB_04_127,05_OOB_04_log/05_OOB_04_127.txt,0.18994413407821228,0.5714285714285714,18,8,8,179,179,28,30,34,16.0,0.8100558659217877,0.4285714285714286,179,179
05_OOB_04_log,05_OOB_04_042,05_OOB_04_log/05_OOB_04_042.txt,0.44537815126050423,0.7142857142857143,29,6,18,119,131,21,20,53,15.0,0.5546218487394958,0.2857142857142857,119,131
05_OOB_04_log,05_OOB_04_136,05_OOB_04_log/05_OOB_04_136.txt,0.4375,0.6,12,1,22,80,101,15,15,35,9.0,0.5625,0.4,80,101
05_OOB_04_log,05_OOB_04_134,05_OOB_04_log/05_OOB_04_134.txt,0.19607843137254902,0.35294117647058826,6,1,13,102,114,17,16,20,6.0,0.803921568627451,0.6470588235294117,102,114
05_OOB_04_log,05_OOB_04_041,05_OOB_04_log/05_OOB_04_041.txt,0.29411764705882354,0.4444444444444444,2,0,13,51,64,9,9,15,4.0,0.7058823529411764,0.5555555555555556,51,64
05_OOB_04_log,05_OOB_04_121,05_OOB_04_log/05_OOB_04_121.txt,0.3275862068965517,0.6842105263157895,18,8,12,116,120,19,18,38,13.0,0.6724137931034483,0.3157894736842105,116,120
05_OOB_04_log,05_OOB_04_135,05_OOB_04_log/05_OOB_04_135.txt,0.25,0.4,9,2,24,140,162,20,19,35,8.0,0.75,0.6,140,162
05_OOB_04_log,05_OOB_04_018,05_OOB_04_log/05_OOB_04_018.txt,0.5544554455445545,0.8888888888888888,19,20,17,101,98,18,17,56,16.0,0.4455445544554455,0.11111111111111116,101,98
05_OOB_04_log,05_OOB_04_140,05_OOB_04_log/05_OOB_04_140.txt,0.24796747967479674,0.5833333333333334,33,12,16,246,250,36,36,61,21.0,0.7520325203252033,0.41666666666666663,246,250
05_OOB_04_log,05_OOB_04_141,05_OOB_04_log/05_OOB_04_141.txt,0.44871794871794873,0.5714285714285714,7,2,26,78,102,14,15,35,8.0,0.5512820512820513,0.4285714285714286,78,102
05_OOB_04_log,05_OOB_04_143,05_OOB_04_log/05_OOB_04_143.txt,0.14423076923076922,0.3026315789473684,49,4,7,416,419,76,75,60,23.0,0.8557692307692308,0.6973684210526316,416,419
05_OOB_04_log,05_OOB_04_011,05_OOB_04_log/05_OOB_04_011.txt,0.5575221238938053,0.8947368421052632,35,7,21,113,127,19,20,63,17.0,0.4424778761061947,0.10526315789473684,113,127
05_OOB_04_log,05_OOB_04_110,05_OOB_04_log/05_OOB_04_110.txt,0.2631578947368421,0.4117647058823529,9,6,10,95,99,17,16,25,7.0,0.736842105263158,0.5882352941176471,95,99
05_OOB_04_log,05_OOB_04_105,05_OOB_04_log/05_OOB_04_105.txt,0.4090909090909091,0.625,11,8,17,88,97,16,16,36,10.0,0.5909090909090908,0.375,88,97
05_OOB_05_log,05_OOB_05_108,05_OOB_05_log/05_OOB_05_108.txt,0.27986906710310966,0.29064039408866993,121,66,155,1222,1311,203,200,342,58.99999999999999,0.7201309328968903,0.7093596059113301,1222,1311
05_OOB_05_log,05_OOB_05_120,05_OOB_05_log/05_OOB_05_120.txt,0.1589958158995816,0.4189189189189189,35,63,16,717,670,148,122,114,62.0,0.8410041841004184,0.5810810810810811,717,670
05_OOB_05_log,05_OOB_05_096,05_OOB_05_log/05_OOB_05_096.txt,0.16827586206896553,0.2826086956521739,45,8,69,725,786,138,128,122,39.0,0.8317241379310345,0.7173913043478262,725,786
05_OOB_05_log,05_OOB_05_109,05_OOB_05_log/05_OOB_05_109.txt,0.24285714285714285,0.4444444444444444,25,6,3,140,137,27,26,34,12.0,0.7571428571428571,0.5555555555555556,140,137
05_OOB_05_log,05_OOB_05_137,05_OOB_05_log/05_OOB_05_137.txt,1.0,1.0,2,311,0,313,2,63,1,313,63.0,0.0,0.0,313,2
05_OOB_05_log,05_OOB_05_091,05_OOB_05_log/05_OOB_05_091.txt,0.22653721682847897,0.4881889763779528,37,32,71,618,657,127,126,140,62.0,0.7734627831715211,0.5118110236220472,618,657
05_OOB_05_log,05_OOB_05_119,05_OOB_05_log/05_OOB_05_119.txt,0.13661971830985917,0.3076923076923077,41,38,18,710,690,130,130,97,40.0,0.8633802816901408,0.6923076923076923,710,690
