|  8. 25 Septembre 1905 | Mbaatin | Jour  |
| --- | --- | --- |
|  Hauteur 2 Barometrique | 250.2 | 250.3  |
|  Direction du vent | cr. 8 | munt  |
|  Force | 1 fort. | 1 fort  |
|  2 Reg. a (tasse) | Reg. 2 | 10  |
|  (Eburborite) |  |   |
|  260.2 (1000) | Reg. 2 | 10  |
|  Direction des nuages | 10 | 10  |
|  Flue tombe |  |   |
|  260.2 (1000) | Reg. 2 | 13.2  |
|  Compristine de l'air | 19.0 | 2.39.1  |
|  Hauteur de la mer | 42.6 | 1682.8  |
|  260.2 (1000) | 1 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
|  260.2 (1000) | 1032.8 | 20.2  |
