|  9. 22 x 6e 1907 | Maitin | Soir  |
| --- | --- | --- |
|  Hauteur | 110,1 | 187.2  |
|  Direction du Vent |  | 1.1.2  |
|  10222 | 0 | 1  |
|  10223 | 2 | 0  |
|  10224 | 4 | 2  |
|  10225 |  | 1.0  |
|  10226 |  | 14.1  |
|  10227 | 18.0 | 14.1  |
|  10228 | 23.0 | 48.0  |
|  10229 | 1,101 | 1,101  |
|  10230 | 168.1 | 168.1  |
|  10231 | 14.1 | 14.1  |
|  9. 27 x 6e 1907 | Maitin | Soir  |
|  Hauteur |  | 148.3  |
|  Direction du Vent |  | 1.1.2  |
|  10222 |  | 2  |
|  10223 |  | 10  |
|  10224 |  | 10  |
|  10225 |  | 1.0  |
|  10226 |  | 2.3  |
|  10227 |  | 18.1  |
|  10228 |  | 20.1  |
|  10229 |  | 6  |
|  10230 |  | 13.1  |
