|  19 x 1907 | Matin | Biv  |
| --- | --- | --- |
|  20.8 | 208.3 |   |
|  10.0 | 10.0 |   |
|  1.0 | 1.0 |   |
|  1.0 | 1.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
|  2.0 | 2.0 |   |
