|  7. 11 Novembre - 1908 | Moutier | Javi  |
| --- | --- | --- |
|  Hauteur
Marametrique | 248,1 | 248,2  |
|  Direction du vent | cr.cr.0 | cr.cr.0  |
|  Voie | 2 fort | 3  |
|  9660 | 10 | 10  |
|  9660 (100) | 10 | 10  |
|  10 | 10 | 10  |
|  Direction des mays | cr. 6 | cr.cr.0  |
|  Mair Tombé | 4,8 | 1,0  |
|  Température de l'air | 2,4 | 10,0  |
|  Hauteur de la mer | 8,5 | 34,8  |
|  1033 | 3 fonte | 3  |
|  1038,8 | 1028,8 | 1028,9  |
|  12,3 | 12,3 | 12,6  |
|  7. 12 Novembre - 1908 | Moutier | Javi  |
|  Hauteur
Marametrique | 253,8 | 264,3  |
|  Direction du vent | court | cr.0  |
|  Voie | 1 20 | 1  |
|  9660 (100) | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
