# Date de Dérembre 1900

|  **Date** | **Dérembre** | **Preis**  |
| --- | --- | --- |
|  9e Matin 3e Soir | 209,2 | 202,9  |
|  4 Juillet 3 | 2. 29,2 | 102,9  |
|  2 Sept. 01 | 2. 29,2 | 102,9  |
|  2 Sept. 01 | 2. 29,2 | 102,9  |
|  2 Sept. 01 | 2. 29,2 | 102,9  |
|  2 Sept. 01 | 2. 29,2 | 102,9  |
|  2 Sept. 01 | 2. 29,2 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
|  10 Oct. 01 | 102,9 | 102,9  |
