# Date - 10 janvier - 1901

|  |   |   |
| --- | --- | --- |
|  9. "Sélection 3" Soir |  |   |
|  1. "Sélection 3" Soir |  |   |
|  201,0 | 201,0 |   |
|  201,0 | 201,0 |   |
|  2 | 1 |   |
|  1 | 1 |   |
|  2 | 2 |   |
|  Direction des musées | 2 |   |
|  2 | 2 |   |
|  10,0 | 12,0 |   |
|  35,5 | 35,0 |   |
|  1689,2 | 1689,2 |   |
|  11,1 | 11,3 |   |
|  25,1 | 25,1 |   |
|  10,0 | 10,0 |   |
|  2,5 | 2,5 |   |
|  11,1 | 11,3 |   |
|  35,5 | 35,0 |   |
|  1689,2 | 1689,2 |   |
|  25,1 | 25,1 |   |
|  10,0 | 10,0 |   |
